nameplate,generation,fuel,age,capacityfactor,co2emissions,co2emissionsRate
19,125,OIL,46,0,239.95,3839.28
19,2537,GAS,46,0.0152,2354.69,1856.28
13,217,OIL,60.3,0.0019,187.1,1724.46
79,55552,GAS,18.1,0.0807,33520.91,1206.83
10,0,OIL,38.2,0,11.13,-75.43
96,62387,COAL,35.1,0.074,65135.76,2088.12
12,61419,HYDRO,56.3,0.6044,0,0
12,58429,HYDRO,56.3,0.575,0,0
1000,0,HYDRO,42,-0.0179,0,0
240,0,HYDRO,53.3,-0.1771,0,0
2429,13613142,HYDRO,53.7,0.6397,0,0
912,6611236,HYDRO,56.6,0.8275,0,0
34,2756,GAS,48.1,0.0093,3136.23,2275.93
8,21200,HYDRO,91,0.2988,0,0
837,2494264,COAL,31.3,0.3401,2643578.84,2119.73
95,119447,HYDRO,59.3,0.1441,2186.1,36.6
431,2030398,COAL,58.2,0.5384,1944704.81,1915.59
508,2743551,COAL,54.3,0.616,2704514.97,1971.54
5,11980,HYDRO,30,0.2735,0,0
16,0,OIL,47,0,260.9,-4348.31
2558,15979266,COAL,42.4,0.713,16060695.97,2010.19
763,2594050,COAL,48.5,0.3882,2770396.71,2135.96
84,189580,HYDRO,78.6,0.2576,0,0
108,286946,HYDRO,85,0.3033,0,0
342,637639,COAL,54.1,0.2128,829326.4,2601.24
1155,5473381,COAL,55.9,0.541,5589096.68,2042.28
20,57055,HYDRO,96,0.3257,0,0
474,1136555,COAL,61.2,0.2735,1206203.37,2122.56
781,2561748,COAL,50.3,0.3745,2504515.91,1955.32
350,158899,HYDRO,51,0.0518,0,0
388,594720,COAL,58.6,0.1751,703463.88,2365.7
26,84938,HYDRO,100,0.3758,0,0
1996,12775577,COAL,46.9,0.7307,12721109.33,1991.47
60,112499,HYDRO,92,0.214,0,0
36,105080,HYDRO,87,0.3332,0,0
26,62164,HYDRO,90,0.2783,0,0
601,1279683,COAL,58.3,0.243,1394823.33,2179.95
5,14736,HYDRO,19,0.3115,0,0
5,16672,HYDRO,95,0.3806,0,0
9,26548,HYDRO,61,0.3367,0,0
6,19719,HYDRO,63,0.3517,0,0
1,0,HYDRO,90,0,0,0
2,3147,HYDRO,84.7,0.1996,0,0
43,203012,HYDRO,73,0.5365,0,0
11,23463,HYDRO,60,0.248,0,0
22,70619,HYDRO,74,0.3732,0,0
3,6172,HYDRO,65,0.2349,0,0
178,340244,HYDRO,52,0.2187,0,0
48,87,OIL,44,0,269.82,6202.67
100,334199,HYDRO,60,0.3815,0,0
4,8520,HYDRO,88,0.2702,0,0
13,26153,HYDRO,61,0.2262,0,0
255,838745,HYDRO,67.1,0.3759,0,0
166,251222,HYDRO,65.8,0.1732,0,0
15,1044,OIL,24,0.0079,1227.92,2352.33
115,469179,COAL,55.1,0.4657,669486.53,2853.86
10,0,GAS,62,0,91.21,-36483.4
48,192,OIL,38,0,545.85,5685.94
614,2042118,HYDRO,57.5,0.3797,0,0
656,3901155,COAL,43,0.6789,4618218.1,2367.62
11,10,OIL,68.4,0,8.84,1767.14
3,6,OIL,68,0.0002,5.89,1963.49
734,4535430,COAL,40.5,0.7054,5501635.02,2426.07
190,1351325,COAL,48,0.811,1528863.77,2262.76
1880,10057631,COAL,44.5,0.6106,10194179.59,2027.15
1433,3772205,COAL,51.9,0.3005,4313406.34,2286.94
159,279,GAS,48.5,0,112.28,804.88
1444,8562709,COAL,42.5,0.6769,8725353.27,2037.99
440,880159,COAL,55.1,0.2284,1143341.73,2598.03
795,2809794,COAL,47.3,0.4035,2648938.68,1885.5
1289,6433738,COAL,50.9,0.5698,6487272.96,2016.64
260,765817,COAL,52.9,0.3362,814128,2126.17
1891,6460269,COAL,41.1,0.39,7076638.75,2190.82
106,62894,COAL,60,0.0676,88228.96,2805.64
305,26621,GAS,19.8,0.01,23852.63,1792.02
447,170961,COAL,63.2,0.0437,240933.77,2818.58
2452,13460466,COAL,43.3,0.6268,14457908.95,2148.2
14,25,OIL,47,0,21.19,1695.15
14,44,OIL,47,0,38.45,1747.8
127,223,GAS,45.1,0,298.14,2673.89
58,213,OIL,42,0,818.53,7685.73
54,0,OIL,43,0,1462.06,-76950.72
293,424092,COAL,59.3,0.1655,498811.99,2352.38
548,1074060,COAL,62.9,0.2236,1294810.36,2411.06
2468,12339075,COAL,48.3,0.5707,13078876.47,2119.91
556,58345,GAS,19.4,0.012,49549.7,1698.51
1529,6701885,COAL,54.4,0.5002,6611063.6,1972.9
1087,6740162,COAL,60,0.7082,6908328.47,2049.9
655,3570919,COAL,52.8,0.622,4320082.67,2419.59
450,68446,GAS,17.5,0.0174,66144.19,1932.74
19,0,OIL,47,0,49.82,-1245.59
1,13,OIL,66.1,0.0012,15.14,2328.5
39,0,OTHER,40,0,452.74,-1297.25
16,77,GAS,44,0,93.45,2414.15
32,339,GAS,45,0.0012,494.94,2919.31
50,87009,COAL,39.9,0.2003,139958.52,3217.1
138,173952,COAL,47.4,0.1438,141190.82,1623.33
31,2,OIL,41.1,0,12.52,12517.25
20,0,OTHER,38.3,0,203.02,-987.95
85,337656,COAL,49.3,0.4562,500643.33,2965.4
56,85989,COAL,42.3,0.1769,124598.7,2898.02
36,0,OIL,35.4,0,279.96,-2827.89
40,67567,COAL,50.8,0.1928,109688.77,3246.82
8,24,OIL,45.3,0,14.24,1186.28
974,1641381,GAS,45.4,0.1924,1338795.45,1631.3
1889,8197339,COAL,35.3,0.4954,9061890,2210.93
613,755347,GAS,57.3,0.1407,509391.33,1348.76
1724,2733721,GAS,42,0.181,1950909.97,1427.29
1951,9764925,COAL,35.5,0.5715,8457520.58,1732.22
658,838905,GAS,40.8,0.1455,631132.27,1504.66
443,254150,GAS,59.7,0.0655,237849.36,1871.72
163,7003,GAS,39.6,0.0049,5012.01,1431.39
25,0,OTHER,48.8,0,205.74,-455.17
2,3,OIL,63.7,0,4.83,3217.94
124,277762,HYDRO,51,0.2553,0,0
130,526469,HYDRO,73,0.4619,0,0
288,0,HYDRO,45.5,-0.0606,0,0
70,295717,HYDRO,47,0.4823,0,0
110,619454,HYDRO,44,0.6429,0,0
9,403,GAS,51.5,0.0051,137.11,680.46
60,171851,HYDRO,42,0.327,0,0
7,55,GAS,54.5,0.0009,45.73,1666.62
9,55,OIL,56,0,51.79,1883.17
29,87,GAS,47.6,0,82.91,1906.08
45,251691,HYDRO,62,0.6413,0,0
39,119492,HYDRO,62,0.3498,0,0
535,1254327,GAS,33.2,0.2677,689291.32,1099.06
305,469633,GAS,44.5,0.1758,324540.57,1382.1
392,1891439,HYDRO,48,0.5515,0,0
190,975054,HYDRO,54,0.5858,0,0
15,31476,HYDRO,62,0.2395,0,0
26,29705,HYDRO,62,0.1304,0,0
3,17206,HYDRO,58,0.7015,0,0
3,4399,HYDRO,91,0.1569,0,0
11,37477,HYDRO,63,0.3889,0,0
99,193133,HYDRO,57,0.2234,0,0
33,111394,HYDRO,60,0.3877,0,0
4,22455,HYDRO,103,0.6746,0,0
32,225131,HYDRO,87,0.8031,0,0
7,35330,HYDRO,83,0.5602,0,0
1,3917,HYDRO,71,0.4471,0,0
18,79059,HYDRO,64,0.5014,0,0
11,51896,HYDRO,63,0.5386,0,0
43,188950,HYDRO,65.3,0.5063,0,0
1,7925,HYDRO,94,0.8224,0,0
37,181947,HYDRO,80.6,0.5675,0,0
41,207836,HYDRO,57,0.5815,0,0
110,424330,HYDRO,57.4,0.4412,0,0
19,113007,HYDRO,89.6,0.6862,0,0
247,1000545,HYDRO,51,0.4626,0,0
15,136187,HYDRO,64.8,1.0095,0,0
114,220680,HYDRO,52,0.2204,0,0
14,95585,HYDRO,73.9,0.8083,0,0
8,49911,HYDRO,66,0.7122,0,0
18,35736,HYDRO,61,0.2266,0,0
1093,4034951,HYDRO,53,0.4215,0,0
26,120846,HYDRO,51,0.5306,0,0
100,287863,HYDRO,62,0.3286,0,0
15,72580,HYDRO,60,0.5524,0,0
80,166456,HYDRO,48,0.2375,0,0
30,149401,HYDRO,53,0.5685,0,0
2160,7655722,HYDRO,45.7,0.4046,0,0
120,268930,HYDRO,60,0.2558,0,0
991,4599712,HYDRO,59.9,0.5301,0,0
416,3596,GAS,41.8,0,9870.36,5489.63
510,523010,COAL,59.4,0.1171,754561.09,2885.46
20,333,OIL,44,0.0019,903.94,5429.08
60,7759,GAS,44,0.0148,8413.22,2168.64
54,4890,OIL,43,0.0103,6926.46,2832.91
27,1021,OIL,44,0.0043,1673.22,3277.61
621,1707607,COAL,44.9,0.3139,1716300.41,2010.18
20,10,OIL,43,0,233.82,46763.79
261,740481,COAL,61,0.3239,825721.27,2230.23
54,2308,OIL,43,0.0049,3597.92,3117.78
20,123337,HYDRO,110,0.7183,0,0
1883,12162111,COAL,44.5,0.7372,12032667.51,1978.71
24,2371,GAS,44,0.0113,2170.75,1831.08
2012,11007266,COAL,43.2,0.6245,11212862.17,2037.36
30,50520,HYDRO,89.7,0.1922,0,0
585,3724944,COAL,11,0.7269,4155166.69,2231
632,2590443,COAL,57.7,0.4679,2702182.15,2086.27
53,0,OIL,43,0,18.08,-49.2
1884,13552467,COAL,47.5,0.8212,13429897.68,1981.91
354,729463,COAL,56.2,0.235,833372.38,2284.89
64,894,OIL,46,0.0016,1211.47,2710.23
1567,10174222,COAL,48.9,0.7413,10029763.12,1971.6
37,280,OIL,46,0,349.66,2497.61
64,1059,OIL,46,0.0019,1505.59,2843.41
32,360,OIL,46,0.0013,502,2788.88
107,558883,HYDRO,101.8,0.5951,0,0
32,263,OIL,46,0.0009,372.57,2833.25
19,83,OIL,46,0,100.22,2414.94
1790,826390,GAS,39.2,0.0527,656879.22,1589.76
1642,9600149,COAL,43,0.6675,9019300.44,1878.99
491,1708924,COAL,62,0.3976,2391258.38,2798.55
40,84617,HYDRO,89,0.2415,0,0
37,440,OIL,46,0.0014,531.94,2417.92
32,169,OIL,46,0,240.85,2850.35
56,972,OIL,46,0.002,1212.78,2495.44
420,563756,COAL,60.4,0.1532,679998.8,2412.39
77,1404,OIL,45.7,0.0021,1796.18,2558.67
1569,2034237,COAL,47.1,0.148,2763499.34,2716.99
64,192,OIL,45,0,1040.32,10836.69
64,2141,OIL,45,0.0038,2577.57,2407.82
800,0,HYDRO,47.8,-0.063,0,0
2319,18759381,NUCLEAR,41,0.9233,0,0
132,4331,OIL,42,0.0038,4893.17,2259.6
233,8209,OIL,54.8,0.004,15771.76,3842.55
74,1178,OIL,47.8,0.0018,1334.36,2265.46
418,988475,HYDRO,58.3,0.2703,0,0
50,103750,COAL,56,0.2373,194006.82,3739.89
326,1675969,COAL,56.5,0.5862,1738199.44,2074.26
1728,8975619,COAL,45,0.5929,10310229.9,2297.39
449,962800,COAL,56.8,0.245,1075997.62,2235.14
515,1928019,GAS,20,0.4274,960652.14,996.52
1046,136747,GAS,33.9,0.0149,133441.96,1951.66
992,4602898,NUCLEAR,46.3,0.5299,1055834.28,458.77
1,2563,HYDRO,19,0.209,0,0
213,0,OTHER,46.2,0,0,0
45,139207,HYDRO,89,0.3531,0,0
45,143863,HYDRO,92,0.3649,0,0
42,137826,HYDRO,99,0.372,0,0
7,13788,HYDRO,99.9,0.2349,0,0
24,6132,HYDRO,108,0.0292,0,0
4,10224,HYDRO,19,0.2918,0,0
612,0,HYDRO,41,-0.0283,0,0
437,1072980,COAL,50.7,0.2803,1193830.05,2225.26
2667,20943025,NUCLEAR,41.3,0.8965,0,0
28,0,HYDRO,106,0,0,0
2,7265,HYDRO,19,0.3456,0,0
56,201972,HYDRO,96,0.4117,0,0
60,138718,HYDRO,90,0.2639,0,0
18,69862,HYDRO,105,0.4431,0,0
18,66689,HYDRO,94,0.4229,0,0
490,1360807,COAL,50.2,0.3173,1380443.3,2028.86
39,2552,GAS,48.5,0.0074,3290.65,2578.88
186,51690,GAS,17.6,0.0317,26446.26,1023.26
16,21,OIL,47,0,98.34,9365.54
294,1440130,COAL,57,0.5599,1310000.5,1819.28
5,19076,HYDRO,49,0.4188,0,0
14,59314,HYDRO,99.8,0.4702,0,0
74,8697,GAS,44.5,0.0134,8605.18,1978.88
207,125976,HYDRO,71.6,0.0694,0,0
759,2178941,GAS,31.3,0.3278,1310554.2,1202.93
772,4043009,COAL,44.5,0.598,4257598.45,2106.15
687,3421226,COAL,42.1,0.5689,3398341.15,1986.62
4,5382,HYDRO,72.5,0.166,96.62,35.9
163,404656,COAL,49,0.283,471984.01,2332.77
118,436,OIL,38.5,0,976.98,4481.58
578,892896,COAL,54.2,0.1763,794597.36,1779.82
112,875,OIL,45.2,0,4495.73,10275.95
2,14801,HYDRO,65,0.8448,0,0
362,677299,HYDRO,61.6,0.2136,0,0
135,133365,COAL,41.3,0.1128,211437.45,3170.81
29,62,OIL,37,0,181.38,5850.88
3,0,OIL,45,0,19.55,-307.92
3,13,OIL,46,0,126.73,19496.45
5,0,OIL,50.7,0,131.88,-21980.18
58,878,GAS,31.8,0.0017,1878.73,4279.56
4,0,OIL,14.8,0,42.05,-1425.47
4,0,OTHER,53,0,31.47,-232.22
24,982,OIL,37,0.0047,1645.9,3352.13
784,2499765,HYDRO,52.6,0.364,0,0
320,1799442,HYDRO,60.4,0.6419,0,0
494,939594,HYDRO,50,0.2171,0,0
1611,4753331,COAL,51.2,0.3369,5013508.42,2109.47
94,398680,HYDRO,72,0.4862,0,0
106,148008,HYDRO,62,0.1595,0,0
950,3874215,COAL,48,0.4655,3695955.53,1907.98
135,283637,HYDRO,67.5,0.2398,0,0
160,638159,HYDRO,72,0.4564,0,0
2600,14062935,COAL,42,0.6174,14717521.01,2093.09
151,348019,HYDRO,67.1,0.2634,0,0
59,92792,HYDRO,61.5,0.1783,0,0
153,686129,HYDRO,68.8,0.5109,0,0
1918,6841891,COAL,46.8,0.4071,7257781.31,2121.57
34,105120,HYDRO,94.6,0.3561,0,0
800,3840430,COAL,59.3,0.548,4065338.99,2117.13
2911,6418456,COAL,47.3,0.2517,6810307.31,2122.1
1700,2902252,COAL,60.4,0.1949,3664499.7,2525.28
72,147569,HYDRO,51,0.234,0,0
104,492353,HYDRO,47,0.5409,0,0
131,411819,HYDRO,79,0.3578,0,0
19,78936,HYDRO,102.6,0.4743,0,0
23,51072,HYDRO,102,0.2535,0,0
29,157172,HYDRO,72,0.623,0,0
240,1027975,HYDRO,71,0.489,0,0
39,98143,HYDRO,64,0.291,0,0
46,46712,HYDRO,42.8,0.1167,0,0
58,108071,HYDRO,66,0.2142,0,0
175,775659,HYDRO,72.2,0.5071,0,0
11,11832,HYDRO,76.3,0.1274,0,0
100,365803,HYDRO,41.7,0.418,0,0
54,101125,HYDRO,65,0.2138,0,0
104,412778,HYDRO,58,0.4544,0,0
28,56107,HYDRO,45,0.2287,0,0
10,43209,HYDRO,83,0.5138,0,0
264,128893,GAS,7,0.0558,69133.75,1072.73
730,1897435,GAS,23.3,0.2966,963261.47,1015.33
377,951196,GAS,28,0.2881,436166.92,917.09
928,345775,GAS,43.3,0.0426,239235.45,1383.76
958,705577,GAS,51.2,0.0841,489100.77,1386.39
913,2145656,GAS,30.7,0.2683,1366493.78,1273.73
543,1860172,GAS,44.5,0.3912,1279299.16,1375.46
2051,4493053,GAS,44.4,0.2501,2996507.09,1333.84
1530,1114118,GAS,44,0.0831,743753.06,1335.14
878,184858,GAS,40.5,0.024,188650.59,2041.03
875,154595,GAS,56.5,0.0202,115778.18,1497.83
1174,959138,GAS,41.2,0.0933,577293.12,1203.77
4008,17492354,COAL,40.9,0.4982,18220813.24,2083.29
501,421144,GAS,47.1,0.096,268215.1,1273.75
40,17147,GAS,61,0.0489,13335.19,1555.4
882,1542313,GAS,45.8,0.1996,1064972.81,1381.01
676,1697167,GAS,32.2,0.2866,1083312.32,1276.61
49,48763,GAS,61,0.1136,42792.64,1755.13
475,889271,GAS,50.4,0.2139,627493.77,1411.25
434,1047553,GAS,56.8,0.2753,740300.66,1413.39
27,18475,GAS,41,0.0781,17339.5,1877.08
635,491125,GAS,49.5,0.0883,336553.18,1370.54
1433,362006,GAS,42.7,0.0288,264061.45,1458.88
1224,47759,GAS,40.3,0.0045,66989.59,2805.32
1097,342640,GAS,37.1,0.0356,295122.99,1722.64
1187,9289562,COAL,43.5,0.8935,10455705.4,2251.07
713,505684,GAS,51.7,0.0809,335639.5,1327.47
1380,237070,GAS,43.8,0.0196,205630.36,1734.76
243,35101,GAS,50,0.0165,25282.63,1440.56
1175,312212,GAS,47.5,0.0303,222290.84,1423.97
932,1188481,GAS,37.2,0.1456,799943.05,1346.16
181,73487,GAS,27.4,0.0462,49313.85,1342.11
138,648,GAS,48.8,0,783.67,2418.73
428,111799,GAS,37.1,0.0298,86675.93,1550.57
3,13237,HYDRO,88,0.5397,0,0
4,19986,HYDRO,88,0.6338,0,0
2,11209,HYDRO,84,0.5331,0,0
2,11030,HYDRO,84,0.5246,0,0
2,10405,HYDRO,88,0.4949,0,0
2,11541,HYDRO,83,0.549,0,0
18,26951,HYDRO,75,0.1709,0,0
55,3151,HYDRO,73,0.0066,0,0
60,30131,HYDRO,64,0.0573,0,0
15,2272,HYDRO,77,0.0173,0,0
44,20208,HYDRO,64,0.0524,0,0
108,98628,HYDRO,74,0.1042,0,0
639,879045,GAS,45.5,0.157,592575.6,1348.23
151,175883,GAS,43.4,0.1333,130929.4,1488.82
107,314256,GAS,34.3,0.3353,148902.76,947.65
418,34428,GAS,32.4,0.0094,29604.42,1719.79
892,761004,GAS,42,0.0974,562285.43,1477.75
1138,777530,GAS,37.7,0.078,545465.53,1403.07
604,383955,GAS,33.8,0.0726,274255.4,1428.58
268,168598,GAS,17.1,0.0719,90985.64,1079.32
240,257298,GAS,19.8,0.1223,144791.33,1125.48
3,10926,HYDRO,108,0.4989,0,0
189,1296004,COAL,59.2,0.7844,1481739.56,2286.63
30,48987,HYDRO,88,0.1864,0,0
433,359326,GAS,41.4,0.0948,268945.41,1496.94
2,6403,HYDRO,119,0.3655,0,0
10,18451,HYDRO,98.6,0.2045,0,0
5,15484,HYDRO,101,0.3535,0,0
1,3079,HYDRO,105,0.2929,0,0
1,5587,HYDRO,103,0.6378,0,0
4,15316,HYDRO,104,0.4601,0,0
19,6612,GAS,34.8,0.0393,4375.93,1323.63
2,6506,HYDRO,79.7,0.4126,0,0
2,4489,HYDRO,85.5,0.3416,0,0
2,3894,HYDRO,45.4,0.2778,0,0
18,1070,GAS,48.3,0.007,798.89,1493.25
2,2345,HYDRO,40.3,0.1785,0,0
4,11142,HYDRO,34.6,0.3533,0,0
4,11789,HYDRO,57,0.3364,0,0
2,8130,HYDRO,57,0.4885,0,0
4,21098,HYDRO,56,0.5734,0,0
1,6179,HYDRO,85,0.5878,0,0
13,137,OIL,54,0.0012,317.43,4634.03
2,5353,HYDRO,108,0.3595,0,0
3,18808,HYDRO,78,0.7157,0,0
4,24133,HYDRO,96,0.7871,0,0
2,8478,HYDRO,95,0.4839,0,0
2,9100,HYDRO,98,0.4328,0,0
7,45086,HYDRO,86,0.6955,0,0
6,31694,HYDRO,67,0.5743,0,0
4,6780,HYDRO,101,0.215,0,0
13,454,OIL,53,0.0039,762.9,3360.78
1,3872,HYDRO,98,0.34,0,0
2,6707,HYDRO,98,0.348,0,0
3,15185,HYDRO,64,0.5778,0,0
4,18006,HYDRO,73.9,0.5139,0,0
42,2550,OIL,43,0.007,3431.63,2691.48
18,110,OIL,50,0,199.21,3622.04
16,44121,HYDRO,48.5,0.3148,661.53,29.99
5,4904,HYDRO,88,0.112,0,0
3,12083,HYDRO,87,0.431,0,0
1,518,HYDRO,98,0.0591,0,0
41,263646,HYDRO,87,0.7377,0,0
34,101902,HYDRO,91,0.3462,0,0
1,7083,HYDRO,88,0.7351,0,0
563,4782473,NUCLEAR,43,0.969,0,0
4,6,HYDRO,64.5,0,2.05,681.77
26,196,OIL,44,0.0009,337.8,3446.98
2,3070,HYDRO,56.2,0.1845,0,0
2,5626,HYDRO,91,0.3568,0,0
2,2742,HYDRO,84.5,0.1956,0,0
8,15951,HYDRO,103,0.2168,0,0
22,28237,HYDRO,103,0.1492,0,0
75,210911,HYDRO,76,0.3219,0,0
713,1500925,COAL,56,0.2405,1682455.74,2241.89
338,213144,COAL,61.9,0.0721,241327.55,2264.46
40,67411,HYDRO,51,0.1924,0,0
4,10549,HYDRO,61,0.3345,0,0
23,19723,HYDRO,112,0.1001,0,0
548,0,HYDRO,46.4,0,0,0
12,5311,OIL,52,0.0505,4792.88,1804.89
27,951,OIL,43,0.004,3249.33,6833.5
514,838013,COAL,61.5,0.1861,1127567.09,2691.05
2,2899,HYDRO,88,0.2068,0,0
1,4643,HYDRO,92,0.3786,0,0
254,984459,COAL,59.2,0.4421,1045190.88,2123.38
1800,8824678,COAL,43.5,0.5598,7907984.28,1792.24
8,10096,HYDRO,85,0.1537,0,0
83,81,OIL,44,0,179,4419.87
83,1341,OIL,44,0.0018,1902.95,2838.1
812,3351024,COAL,54.6,0.471,3712048.59,2215.47
1944,3828931,GAS,34.3,0.2249,1963015.49,1025.36
1695,13172437,NUCLEAR,42.5,0.8871,0,0
1257,1873368,COAL,45.8,0.1701,1861194.14,1987
5,11578,HYDRO,28,0.2643,0,0
11,28152,HYDRO,77,0.2895,0,0
1,1099,HYDRO,91,0.0965,0,0
1,3080,HYDRO,81,0.3516,0,0
297,506304,HYDRO,61.8,0.1947,0,0
14,27566,HYDRO,62,0.2248,0,0
1782,8759401,COAL,37.2,0.5612,10842901.63,2475.72
14,95220,HYDRO,102,0.7934,0,0
136,559382,HYDRO,68.8,0.4695,0,0
240,733908,HYDRO,57,0.3491,0,0
134,629932,HYDRO,62,0.5366,0,0
3,114,OIL,46,0.0048,122.15,2142.9
23,88025,HYDRO,102.8,0.4407,0,0
85,366338,HYDRO,55,0.492,0,0
12,13051,HYDRO,113.7,0.1252,0,0
105,360505,HYDRO,56,0.3927,0,0
32,200463,HYDRO,104.8,0.7151,0,0
70,479748,HYDRO,96.8,0.7824,0,0
1,8025,HYDRO,100,0.7634,0,0
26,101430,HYDRO,41.6,0.4386,0,0
12,48978,HYDRO,72.5,0.4659,0,0
1300,5070752,HYDRO,49.2,0.4454,0,0
774,3526019,HYDRO,47.5,0.52,0,0
956,3995732,HYDRO,55.1,0.4773,0,0
1038,4198171,HYDRO,51.9,0.4617,0,0
60,392441,HYDRO,60,0.7467,0,0
1820,5608035,HYDRO,50.9,0.3518,0,0
50,227217,HYDRO,69,0.5188,0,0
43,156186,HYDRO,89,0.4127,0,0
81,236922,HYDRO,77.3,0.3339,0,0
64,357945,HYDRO,82.4,0.6385,0,0
162,695270,HYDRO,47,0.4899,0,0
300,1026686,HYDRO,47,0.3907,0,0
2456,9115556,HYDRO,49.3,0.4237,0,0
603,1498679,HYDRO,45.6,0.2837,0,0
810,1880977,HYDRO,40.8,0.2651,0,0
810,1858858,HYDRO,40.8,0.262,0,0
28,95500,HYDRO,51,0.3964,0,0
2933,15382366,COAL,42.8,0.5988,15932273.72,2071.5
439,1140449,COAL,62,0.2964,1075965.38,1886.92
1106,2468469,COAL,60.1,0.2549,2523466.24,2044.56
278,582028,COAL,62,0.2388,713352.54,2451.27
1152,6335397,COAL,47.5,0.6278,7205693.4,2274.74
2052,12584307,COAL,42,0.7001,12192777.52,1937.78
110,5718,COAL,66.6,0.006,20342.42,7115.22
213,132318,COAL,57.6,0.0708,189617.57,2866.09
713,1498424,COAL,56.7,0.2401,1473681.79,1966.98
1633,10242061,COAL,44,0.7161,10069991.44,1966.4
1681,10329302,COAL,47.2,0.7015,11098840.32,2149
6,30524,HYDRO,105.1,0.6222,0,0
7,38668,HYDRO,73,0.6131,0,0
5,24562,HYDRO,97,0.5841,0,0
9,46942,HYDRO,103.1,0.6089,0,0
5,18082,HYDRO,107.1,0.4047,0,0
7,6,OIL,23.8,0,10.55,3517.92
67,253352,BIOMASS,61.9,0.4304,211399.64,1668.82
8,33575,HYDRO,69.9,0.4978,0,0
16,0,OTHER,46,0,89.01,-1202.85
3,11772,HYDRO,54.8,0.3952,0,0
1,9247,HYDRO,87,0.754,0,0
1,3701,HYDRO,108,0.4225,0,0
58,3738,GAS,42,0.0074,4588.2,2454.9
178,26330,GAS,61,0.0169,39922.76,3032.49
42,1668,GAS,45.7,0.0046,1944.92,2332.04
1,7124,HYDRO,43.7,0.5809,0,0
6,29029,HYDRO,103,0.5523,0,0
22,75162,HYDRO,87,0.3972,0,0
11,52610,HYDRO,91.2,0.5268,0,0
188,68401,BIOMASS,45.9,0.0415,42476.06,1241.97
34,101613,HYDRO,65,0.3422,0,0
50,147629,HYDRO,27,0.3357,0,0
5,20201,HYDRO,57,0.427,0,0
23,106629,HYDRO,98.4,0.5247,0,0
1,6569,HYDRO,88,0.6249,0,0
322,41623,GAS,42,0.0147,38039.76,1827.82
36,154227,HYDRO,98,0.4891,0,0
1,5170,HYDRO,64.7,0.4918,0,0
1,2683,HYDRO,74.8,0.3063,0,0
14,0,OIL,31.6,-0.0012,15.79,-210.53
6,0,OIL,31.2,0,42.71,-573.23
1182,2655942,GAS,8.5,0.2565,1208164.73,909.78
1192,4778637,COAL,51.8,0.4578,5680007.08,2377.25
275,775815,COAL,46.5,0.3224,739400.6,1906.13
3,13129,HYDRO,65.9,0.5168,0,0
1,6262,HYDRO,93.7,0.6499,0,0
4,12933,HYDRO,93,0.3691,0,0
1073,8290882,NUCLEAR,44,0.8824,1185.7,0.29
770,4314303,COAL,39.5,0.6396,4820278.01,2234.56
8,59416,HYDRO,81,0.8272,0,0
200,1189910,COAL,54.5,0.6792,1550645.12,2606.32
28,145813,HYDRO,86.1,0.5861,0,0
294,6574,GAS,44.4,0.0026,1160.33,353.01
40,924,GAS,44,0.0026,2853.07,6175.48
4,19118,HYDRO,90,0.5196,0,0
6,11701,HYDRO,91,0.2087,0,0
17,78563,HYDRO,77,0.5214,0,0
2,6124,HYDRO,59.7,0.4112,0,0
7,13053,HYDRO,105,0.2129,0,0
3,7943,HYDRO,92,0.2667,0,0
2,8254,HYDRO,54.3,0.4097,0,0
1,4332,HYDRO,92.1,0.3804,0,0
441,1701642,COAL,47.8,0.4403,2032905.67,2389.35
4,9123,HYDRO,90,0.2741,0,0
3,10232,HYDRO,77,0.4492,0,0
167,16032,GAS,32.5,0.011,12589.61,1570.56
5,27202,HYDRO,93,0.575,0,0
1163,6805322,COAL,23.6,0.6678,7127038.63,2094.55
15,101447,HYDRO,64.8,0.772,0,0
20,101156,HYDRO,65.8,0.5774,0,0
17,473,OIL,29,0.0032,588.33,2487.65
9,239,HYDRO,38.4,0.0032,17.84,149.25
4,12,OIL,31.1,0,10.23,1704.42
22,51,OIL,30.7,0,55.84,2189.84
7,33,OIL,19.7,0,33.46,2027.95
7,32,OIL,26.9,0,26.02,1626.02
18,142,GAS,46,0,45.28,637.78
3,23585,HYDRO,67,0.8159,0,0
4,20505,HYDRO,87,0.6502,0,0
2,15615,HYDRO,108,0.8913,0,0
2,16211,HYDRO,89,0.7711,0,0
2,6,OIL,25,0,5.4,1799.87
138,279228,OIL,32.6,0.2303,295195.18,2114.37
8,21,OIL,24.2,0,20.62,1963.49
20,1658,HYDRO,32.5,0.0095,243.11,293.25
2,5,OIL,13,0,8.67,3468.83
181,304630,COAL,58.8,0.1921,396327.7,2602.03
22,74375,HYDRO,64,0.3859,0,0
346,1675246,COAL,46,0.5534,1777445.7,2122.01
53,44221,BIOMASS,63,0.0952,2460.54,111.28
1,3966,HYDRO,66,0.4527,0,0
5,56,OIL,29.2,0.0013,50.97,1820.32
22,152892,COAL,46,0.8043,239134.73,3128.15
35,134138,COAL,65.3,0.4438,244619.47,3647.28
817,4707330,COAL,48.6,0.658,6024482.59,2559.62
707,5339385,COAL,46.8,0.8619,5914202.96,2215.31
67,243289,HYDRO,54.5,0.4158,0,0
38,100110,HYDRO,56.5,0.3007,0,0
