nameplate,generation,fuel,age,capacityfactor,co2emissions,co2emissionsRate
135,624936,HYDRO,57,0.5284,0,0
14,56481,HYDRO,99,0.4741,0,0
5,15515,HYDRO,94,0.3342,0,0
10,29339,HYDRO,94,0.3349,0,0
10,37605,HYDRO,94,0.4293,0,0
269,505549,GAS,25.1,0.2142,368037.53,1455.99
8,44608,HYDRO,36,0.67,0,0
169,714470,HYDRO,49.5,0.4838,0,0
34,39111,HYDRO,95,0.1317,0,0
3,16819,HYDRO,111,0.64,0,0
49,222500,HYDRO,53,0.5226,0,0
2,4914,HYDRO,109,0.2805,0,0
3,12484,HYDRO,85,0.4192,0,0
1056,89598,GAS,54.7,0.0097,57072.57,1273.97
2802,3546345,GAS,30.3,0.1445,1582977.93,892.74
5,16328,HYDRO,61,0.4142,0,0
10,55947,HYDRO,73,0.6261,0,0
2,10078,HYDRO,75,0.719,0,0
69,218921,HYDRO,93,0.3611,0,0
80,283586,HYDRO,90,0.4042,0,0
103,407562,HYDRO,60,0.45,0,0
142,713130,HYDRO,71,0.5749,0,0
79,334962,HYDRO,50,0.4828,0,0
110,483569,HYDRO,50,0.5027,0,0
1404,52862,GAS,48.3,0.0043,40400.56,1528.53
143,529896,HYDRO,57,0.4236,0,0
382,430771,GAS,45.5,0.1287,278566.51,1293.34
9,27308,HYDRO,89.2,0.3316,0,0
125,423641,HYDRO,65,0.3881,0,0
3,13961,HYDRO,98,0.5692,0,0
4,18652,HYDRO,92,0.5323,0,0
42,160340,HYDRO,68.4,0.4358,0,0
7,17216,HYDRO,36,0.2933,0,0
7,35122,HYDRO,87,0.5728,0,0
4,12742,HYDRO,87,0.3931,0,0
7,32375,HYDRO,86,0.56,0,0
6,41658,HYDRO,94,0.7926,0,0
82,376423,HYDRO,52,0.5247,0,0
1273,4655802,GEOTHERMAL,36.2,0.4175,206717.61,88.8
52,253410,HYDRO,84,0.5542,0,0
8,25769,HYDRO,101,0.3502,0,0
9,41742,HYDRO,35,0.5606,0,0
14,84259,HYDRO,67,0.7073,0,0
16,87541,HYDRO,86.2,0.6093,0,0
13,89863,HYDRO,105,0.8014,0,0
