id,name,lat,lon,nameplate,generation,fuel,doeid,age,capacityfactor,co2emissions,co2emissionsRate
281,Saguaro,32.5517,-111.3,436,8741,GAS,118,47.5,0.133,2262.15,1390.81
294,Yucca,32.7214,-114.7097,386,421666,GAS,120,33.9,0.107,2078.56,1390.81
253,Demoss Petrie,32.2511,-110.9889,85,6585,GAS,124,14,0.18,2844.20,1390.81
261,H Wilson Sundt Generating Station,32.16,-110.9047,559,856436,GAS,126,51.7,0.232,3808.03,1390.81
4843,Oklaunion,34.0825,-99.1753,720,3644151,COAL,127,29,0.23,2522.92,1390.81
4507,Cross,33.3692,-80.1119,2390,14660231,COAL,130,16,0.202,3686.33,1390.81
1343,Seminole,29.7333,-81.6339,1429,8929519,COAL,136,30.5,0,479.99,0.00
242,Agua Fria,33.5542,-112.2161,614,18747,GAS,141,50.4,0.088,7853.06,1899.40
251,Crosscut,33.44,-111.9442,33,4056,HYDRO,143,71.7,0.032,790.88,1947.97
265,Horse Mesa,33.5907,-111.344,130,145079,HYDRO,145,53.3,0.107,538.98,93.63
268,Kyrene,33.3544,-111.9364,574,380833,GAS,147,31.1,0.32,0.00,0.00
271,Mormon Flat,33.5536,-111.4431,64,76635,HYDRO,148,50.5,0.162,1354.36,1590.55
280,Roosevelt,33.6702,-111.1618,36,129529,HYDRO,149,42,0,14.40,0.00
287,Stewart Mountain,33.5661,-111.536,13,37391,HYDRO,150,85,0.335,0.00,0.00
693,McClure,37.6525,-121.0197,142,4585,GAS,151,34.5,0.475,0.00,0.00
252,Davis Dam,35.1967,-114.5698,255,1129158,HYDRO,152,64,0.169,1373.70,1684.48
259,Glen Canyon Dam,36.9373,-111.4838,1312,3671552,HYDRO,153,50.1,0,1237.98,-5539.06
3653,Hoover Dam,36.0139,-114.7389,1039,2097079,HYDRO,154,74.3,0.325,0.00,0.00
4993,Lake Creek,40.5003,-111.4047,2,3955,HYDRO,159,34,0.119,1202.96,1358.51
243,Apache Station,32.0619,-109.8931,661,2187396,COAL,160,36.7,0.147,1134.36,1358.51
992,Turlock Lake,37.6114,-120.5953,3,9998,HYDRO,161,35,0.194,2016.43,1485.95
605,Hickman,37.6219,-120.7461,1,4358,HYDRO,162,36,0.01,130.82,1295.22
4143,GRDA,36.1906,-95.2889,1010,6263463,COAL,165,31.9,0.004,596.08,1758.36
195,Carpenter,34.4425,-93.0262,56,111812,HYDRO,166,85,0.131,1695.50,2115.41
196,Cecil Lynch,34.7535,-92.1987,231,45548,GAS,167,62.2,0.144,1031.11,1358.51
211,Harvey Couch,33.3592,-93.4649,183,68743,GAS,169,62.6,0.618,0.00,0.00
216,Lake Catherine,34.4341,-92.9046,752,134392,GAS,170,49.8,0.091,38.12,21.67
218,Mabelvale,34.6342,-92.4105,78,15236,GAS,171,45,0.188,23501.83,1390.81
230,Robert E Ritchie,34.4629,-90.5987,923,0,OIL,173,49.7,0.417,0.00,0.00
229,Remmel,34.4272,-92.8941,9,27003,HYDRO,174,90,0.426,0.00,0.00
1014,Volta 2,40.4595,-121.8665,1,4977,HYDRO,180,34,0.329,0.00,0.00
191,Beaver,36.4226,-93.8462,112,189500,HYDRO,182,50,0.055,2132.18,1358.51
201,Degray,34.2122,-93.1099,68,64707,HYDRO,187,43,0.197,1174.43,1358.51
208,Greers Ferry Lake,35.5207,-91.9953,96,218386,HYDRO,188,51,0.131,1132.44,1645.99
221,Narrows,34.1483,-93.7149,26,29783,HYDRO,195,58.7,0.469,0.00,0.00
222,Norfork,36.2491,-92.2401,80,234712,HYDRO,196,68,0.632,0.00,0.00
192,Blakely Mountain,34.5711,-93.1947,75,74975,HYDRO,197,60,0.921,51026.85,1580.39
193,Bull Shoals,36.3635,-92.5763,340,940567,HYDRO,198,57.3,0.001,62.83,13962.60
200,Dardanelle,35.2503,-93.1686,161,706781,HYDRO,199,49.8,0.255,1973.24,1358.51
232,Thomas Fitzhugh,35.4617,-93.8053,185,82487,GAS,201,25.4,0.166,8908.84,1615.97
194,Carl Bailey,35.2597,-91.3631,120,46243,GAS,202,49,0.175,2201.67,1685.81
219,McClellan,33.5648,-92.7917,136,212630,GAS,203,43,0.12,2626.54,1390.81
1841,Clinton Power Station,40.1719,-88.8339,1138,8611998,NUCLEAR,204,28,0.319,2594.34,1685.73
1349,St Johns River Power Park,30.4311,-81.5508,1358,9176893,COAL,207,27.5,0.225,19193.54,1132.95
2182,Wolf Creek Generating Station,38.2388,-95.6874,1236,9555712,NUCLEAR,210,30,0.288,35630.75,1250.51
314,Alta Powerhouse,39.216,-120.8035,2,3594,HYDRO,214,113,0.144,654.16,943.28
328,Angels,38.0572,-120.5341,1,6658,HYDRO,215,75,0.544,66400.56,1238.29
333,Balch 1,36.68,-119.3917,31,145051,HYDRO,217,88,0.047,4344.39,2188.61
334,Balch 2,36.9088,-119.0879,97,557545,HYDRO,218,57,0.647,20406.88,1358.51
342,Belden,39.9866,-121.2843,118,250129,HYDRO,219,46,0.004,64.63,3493.60
375,Bucks Creek,39.9049,-121.2831,66,213296,HYDRO,220,87,0.302,13175.02,1506.92
380,Butt Valley,40.1151,-121.1449,40,116480,HYDRO,221,57,0.004,269.90,1746.91
399,Caribou 1,40.0754,-121.1598,74,99181,HYDRO,222,93,0.184,4156.42,1390.81
400,Caribou 2,40.1742,-121.0915,118,357165,HYDRO,223,57,0.522,12348.77,1420.79
406,Centerville,39.7888,-121.6574,6,8809,HYDRO,224,115,0.144,4179.56,95.94
412,Chili Bar,38.7719,-120.8129,7,31785,HYDRO,225,50,0.088,5389.21,290.94
424,Coleman,40.4046,-122.1219,12,33014,HYDRO,227,36,0.015,7324.31,1158.73
435,Contra Costa,38.0184,-121.761,718,35470,GAS,228,51,0.256,0.00,0.00
454,Cow Creek,40.5708,-122.0209,1,1232,HYDRO,229,108,0.61,11396934.18,1500.69
458,Cresta,39.8763,-121.3729,74,290320,HYDRO,231,65.5,0.282,0.00,0.00
466,De Sabla,39.8336,-121.5978,18,79553,HYDRO,232,52,0.717,14796.66,261.60
468,Deer Creek,39.2982,-120.8441,6,16997,HYDRO,233,107,0.809,0.00,0.00
495,Drum 1,39.2568,-120.767,49,87703,HYDRO,235,95.8,0.042,182448.22,1330.88
496,Drum 2,39.2568,-120.767,53,301211,HYDRO,236,50,0.674,3862427.47,2431.51
498,Dutch Flat,39.2158,-120.8355,22,89882,HYDRO,237,72,0.378,6596694.96,2184.72
515,El Dorado,38.7936,-120.6181,20,79793,HYDRO,238,91,0.015,893.55,1597.05
521,Electra,38.421,-120.549,103,462305,HYDRO,239,67,0.555,1565403.33,906.18
585,Haas,36.9274,-119.0203,135,624936,HYDRO,240,57,0.367,1740319.69,830.84
587,Halsey,38.9111,-121.0767,14,56481,HYDRO,241,99,0.538,9887736.52,2061.41
588,Hamilton Branch,40.2697,-121.1256,5,15515,HYDRO,242,94,0.475,28639.92,1147.23
593,Hat Creek 1,40.8914,-121.6558,10,29339,HYDRO,243,94,0.418,149102.70,994.35
594,Hat Creek 2,40.8914,-121.6558,10,37605,HYDRO,244,94,0.19,212007.45,1846.27
611,Humboldt Bay,40.7415,-124.2103,269,505549,GAS,246,25.1,0.248,0.00,0.00
617,Inskip,40.4278,-121.8383,8,44608,HYDRO,248,36,0.623,214426.93,810.67
624,James B Black,40.9923,-121.9751,169,714470,HYDRO,249,49.5,0.776,18823.27,135.46
638,Kerckhoff,37.0733,-119.4428,34,39111,HYDRO,250,95,0.426,55357.48,379.11
650,Kilarc,40.6292,-121.9128,3,16819,HYDRO,253,111,0.403,0.00,0.00
654,Kings River,36.68,-119.3917,49,222500,HYDRO,254,53,0.554,7346774.86,2137.09
667,Lime Saddle,39.5283,-121.5435,2,4914,HYDRO,255,109,0.247,2897323.27,2081.48
698,Merced Falls,37.5192,-120.4372,3,12484,HYDRO,258,85,0.64,0.00,0.00
501,Dynegy Morro Bay LLC,35.3747,-120.8578,1056,89598,GAS,259,54.7,0.441,3237495.71,839.47
502,Dynegy Moss Landing Power Plant,36.8042,-121.7775,2802,3546345,GAS,260,30.3,0.277,0.00,0.00
734,Murphys,38.15,-120.4508,5,16328,HYDRO,261,61,0.135,0.00,0.00
736,Narrows,39.2117,-121.0431,10,55947,HYDRO,262,73,0.303,1020995.93,936.15
798,Phoenix,37.9989,-120.3238,2,10078,HYDRO,264,75,0.227,255411.24,918.51
802,Pit 1,41.0125,-121.4645,69,218921,HYDRO,265,93,0.366,0.00,0.00
803,Pit 3,41.0218,-121.6747,80,283586,HYDRO,266,90,0.34,32542.01,172.20
804,Pit 4,40.9881,-121.7694,103,407562,HYDRO,267,60,0.712,51346.48,183.49
805,Pit 5,40.9932,-121.8693,142,713130,HYDRO,268,71,0.488,121809.88,546.50
806,Pit 6,40.9223,-121.9923,79,334962,HYDRO,269,50,0.834,22824352.10,2213.63
807,Pit 7,40.8481,-121.9906,110,483569,HYDRO,270,50,0.38,0.00,0.00
809,Pittsburg Power,38.0392,-121.894,1404,52862,GAS,271,48.3,0.374,0.00,0.00
815,Poe,39.7229,-121.4699,143,529896,HYDRO,272,57,0.846,0.00,0.00
819,Potrero Power,37.7558,-122.3869,382,430771,GAS,273,45.5,0.311,0.00,0.00
820,Potter Valley,39.3853,-123.0925,9,27308,HYDRO,274,89.2,0.004,6432.22,3282.58
850,Rock Creek,38.9388,-120.7283,125,423641,HYDRO,275,65,0.156,0.00,0.00
880,San Joaquin 2,37.2325,-119.5203,3,13961,HYDRO,276,98,0.274,0.00,0.00
881,San Joaquin 3,37.2325,-119.5203,4,18652,HYDRO,277,92,0.216,0.00,0.00
862,Salt Springs,38.4564,-120.5367,42,160340,HYDRO,279,68.4,0.02,75603.84,1122.02
934,South,40.1383,-122.2117,7,17216,HYDRO,280,36,0.495,1273566.73,898.68
940,Spaulding 1,39.3295,-120.6421,7,35122,HYDRO,281,87,0.739,34019.69,93.38
941,Spaulding 2,39.3265,-120.643,4,12742,HYDRO,282,87,0.341,0.00,0.00
942,Spaulding 3,39.3224,-120.6342,7,32375,HYDRO,283,86,0.276,0.00,0.00
945,Spring Gap,38.204,-120.0769,6,41658,HYDRO,284,94,0.566,99752.58,510.33
950,Stanislaus,38.146,-120.3545,82,376423,HYDRO,285,52,0.489,1703622.39,884.49
567,Geysers Unit 5-20,38.7771,-122.7448,1273,4655802,GEOTHERMAL,286,36.2,0.33,0.00,0.00
980,Tiger Creek,38.4414,-120.5051,52,253410,HYDRO,287,84,0.739,31881.15,312.85
988,Tule River,36.1447,-118.7622,8,25769,HYDRO,289,101,0.521,7709.46,994.58
1013,Volta 1,40.4596,-121.8665,9,41742,HYDRO,290,35,0.197,14160.14,655.45
1028,West Point,38.421,-120.5492,14,84259,HYDRO,291,67,0.202,755439.11,922.37
1043,Wise,38.9111,-121.0767,16,87541,HYDRO,292,86.2,0.111,421675.62,925.82
298,A G Wishon,37.2325,-119.5203,13,89863,HYDRO,293,105,0.556,844705.20,1092.00
438,Copco 1,41.9789,-122.3342,20,67544,HYDRO,294,95,0.281,0.00,0.00
439,Copco 2,41.9753,-122.3569,27,88801,HYDRO,295,90,0.58,58336.17,755.86
537,Fall Creek,41.9856,-122.3592,2,11086,HYDRO,296,107.2,0.221,0.00,0.00
618,Iron Gate,41.9344,-122.435,18,96256,HYDRO,297,53,0.794,467829.00,1097.60
4804,Limestone,31.4219,-96.2525,1867,12767100,COAL,298,29.5,0.252,0.00,0.00
4970,Blundell,38.4891,-112.8532,38,274358,GEOTHERMAL,299,23.8,0.806,188268.27,731.96
512,El Cajon,32.7817,-117.0458,16,1061,GAS,301,47,0.31,0.00,0.00
525,Encina,33.1408,-117.3342,999,316552,GAS,302,46,0.331,6413976.61,2249.53
635,Kearny,32.834,-117.1338,149,11974,GAS,303,45.7,0.359,0.00,0.00
709,Miramar,32.9146,-117.1064,38,2297,GAS,305,43,0.338,0.00,0.00
504,Dynegy South Bay Power Plant,32.6131,-117.0964,729,70977,GAS,310,53.5,0.93,0.00,0.00
36,Green Lake,56.9858,-135.1211,19,58101,HYDRO,313,33,0.621,104186.70,244.93
494,Drop 5,32.6775,-115.3972,4,13948,HYDRO,314,33,0.193,0.00,0.00
303,AES Alamitos LLC,33.7688,-118.1009,1922,881390,GAS,315,52.5,0.114,0.00,0.00
908,Sepulveda Canyon,34.0969,-118.4797,9,20863,HYDRO,316,33,0.316,0.00,0.00
347,Big Creek 1,37.2039,-119.2428,88,382375,HYDRO,317,95.3,0.044,27019.84,1168.60
348,Big Creek 2,37.2,-119.3069,66,360339,HYDRO,318,96.5,0.228,0.00,0.00
350,Big Creek 3,37.1497,-119.3872,174,841970,HYDRO,319,74.9,0.023,39945.04,1753.98
351,Big Creek 4,37.1391,-119.4894,100,487279,HYDRO,320,64,0.933,17255.76,211.24
352,Big Creek 8,37.2096,-119.3288,75,260726,HYDRO,321,89.2,0.191,702.90,419.47
349,Big Creek 2A,37.2,-119.3069,110,523882,HYDRO,322,87,0.48,0.00,0.00
357,Bishop Creek 2,37.2478,-118.5824,7,35105,HYDRO,323,106.1,0.502,0.00,0.00
358,Bishop Creek 3,37.3022,-118.5311,8,33057,HYDRO,324,102,0.109,0.00,0.00
359,Bishop Creek 4,37.3233,-118.5011,8,50197,HYDRO,325,108.3,0.113,331993.31,984.52
360,Bishop Creek 5,37.3357,-118.481,5,15496,HYDRO,326,85.3,0,163.17,1584.17
361,Bishop Creek 6,37.351,-118.4629,2,3666,HYDRO,327,102,0.505,0.00,0.00
368,Borel,35.8056,-118.5236,12,44043,HYDRO,328,97,0.735,3889788.93,2164.94
437,Coolwater,34.8622,-116.854,727,9792,GAS,329,42.7,0.076,52770.77,1027.86
518,El Segundo Power,33.9106,-118.425,684,168926,GAS,330,50.5,0.609,29527.11,120.42
531,Etiwanda Generating Station,34.0911,-117.5256,666,220654,GAS,331,52,0.26,0.00,0.00
540,Fontana,34.1623,-117.397,3,7793,HYDRO,332,98,0.031,87695.00,1834.66
304,AES Huntington Beach LLC,33.6436,-117.9788,888,931672,GAS,335,55.5,0.087,218370.74,953.49
632,Kaweah 2,36.4124,-119.0042,2,12555,HYDRO,336,86,0.043,73938.40,2151.15
631,Kaweah 1,36.4658,-118.8608,2,7903,HYDRO,337,86,0.28,799190.90,875.16
633,Kaweah 3,36.4867,-118.8344,5,27855,HYDRO,338,102,0.799,12529611.11,2106.54
643,Kern River 3,35.7769,-118.435,40,92480,HYDRO,339,94,0.047,47485.78,1032.54
642,Kern River 1,35.4614,-118.7808,26,48415,HYDRO,340,108,0.13,351201.73,863.08
671,Long Beach Generation LLC,33.7641,-118.2248,252,36219,GAS,341,39,0.02,107325.20,1597.20
680,Lundy,38.0431,-119.1711,3,9190,HYDRO,342,103.5,-0.461,0.00,0.00
685,Mammoth Pool,37.2203,-119.3379,190,708585,HYDRO,344,55,0.022,14221.68,1866.85
686,Mandalay,34.2072,-119.2511,574,79835,GAS,345,53.4,0.179,146603.67,1378.96
773,Ormond Beach,34.1292,-119.1689,1612,116841,GAS,350,43,0.345,0.00,0.00
817,Poole,37.9447,-119.2147,11,32334,HYDRO,353,91,0.133,0.00,0.00
818,Portal,37.3197,-119.0704,11,23701,HYDRO,354,59,0.333,0.00,0.00
305,AES Redondo Beach LLC,33.8504,-118.395,1316,134574,GAS,356,50.9,0.168,0.00,0.00
857,Rush Creek,37.7694,-119.1219,13,54054,HYDRO,357,98.4,0.013,1316.35,1170.09
729,Mountainview Power LLC,34.0836,-117.2408,1108,6034355,GAS,358,9.5,0.005,479.15,1638.13
885,San Onofre Nuclear Generating Station,33.3687,-117.5551,2254,13770832,NUCLEAR,360,31.5,0.584,394473.58,654.01
887,Santa Ana 1,34.1461,-117.0572,3,6861,HYDRO,361,116,0.469,48436.15,277.28
888,Santa Ana 3,34.1078,-117.0994,3,4985,HYDRO,363,16,0.258,2156109.21,2655.06
989,Tule River,36.1361,-118.7875,2,0,HYDRO,365,106,0.343,0.00,0.00
5218,Columbia Generating Station,46.4711,-119.3339,1200,9241133,NUCLEAR,371,31,0,6.28,-75.15
788,Pardee,38.2569,-120.8507,24,130964,HYDRO,376,65.7,0.089,0.00,0.00
576,Grayson,34.1556,-118.2782,301,186884,GAS,377,39.8,0.051,47852.49,1160.24
483,Dion R Holm,37.8966,-119.9688,157,788899,HYDRO,380,55,0.828,0.00,0.00
714,Moccasin,37.8106,-120.2989,100,375977,HYDRO,381,46,0.3,2944626.85,923.53
823,R C Kirkwood,37.6992,-120.4208,116,557200,HYDRO,382,41.7,0.587,963.15,24.99
1902,Joliet 29,41.4947,-88.125,1320,5907112,COAL,384,49.5,0.101,0.00,0.00
491,Drop 2,32.7092,-115.0169,10,48146,HYDRO,385,62,0.525,0.00,0.00
492,Drop 3,32.7094,-115.1325,10,48671,HYDRO,386,61.2,0.736,11887575.81,2169.47
493,Drop 4,32.7089,-115.2206,20,98112,HYDRO,387,69.4,0.533,0.00,0.00
799,Pilot Knob,32.7389,-114.7003,33,24250,HYDRO,388,58,0.472,0.00,0.00
514,El Centro,32.8022,-115.54,256,578350,GAS,389,42.5,0.61,0.00,0.00
96,Solomon Gulch,61.0811,-146.8572,12,44758,HYDRO,390,33,0.004,21681.03,2313.01
354,Big Pine,37.1678,-118.2917,3,8522,HYDRO,391,90,0.378,2528504.26,2311.89
403,Castaic,34.5195,-118.6049,1331,241544,HYDRO,392,39,0.195,518690.77,853.18
436,Control Gorge,37.3864,-118.4417,38,97262,HYDRO,393,63,0.003,132.12,3037.33
450,Cottonwood,36.5797,-118.0578,2,12286,HYDRO,394,106.5,0.083,46983.99,1075.14
541,Foothill,34.3053,-118.4322,11,46736,HYDRO,396,44,0.492,184882.27,1216.95
548,Franklin,34.09,-118.4064,2,9334,HYDRO,397,94,0.72,8284894.76,2326.64
586,Haiwee,36.2169,-117.9472,6,26402,HYDRO,398,88,0.714,28118.59,998.75
591,Harbor,33.7856,-118.2644,530,215888,GAS,399,22.1,0.867,7346653.87,2353.08
597,Haynes,33.7639,-118.0942,1750,4389873,GAS,400,36.3,0.014,0.00,0.00
704,Middle Gorge,37.3864,-118.4417,38,101479,HYDRO,401,63,0.506,0.00,0.00
813,Pleasant Valley,37.3864,-118.4417,3,7951,HYDRO,402,57,0.009,4763.92,1446.90
872,San Fernando,34.3053,-118.4322,6,6713,HYDRO,403,93,0.206,582470.44,1000.84
895,Scattergood,33.9175,-118.4258,823,1014306,GAS,404,47.1,0.002,642.39,3578.77
106,Tok,63.3367,-142.9856,8,11026,OIL,406,17.4,0.028,0.00,0.00
1002,Upper Gorge,37.3864,-118.4417,38,99393,HYDRO,407,62,0.215,0.00,0.00
1006,Valley,34.2481,-118.3903,788,1543868,GAS,408,11.1,0.271,2676165.18,909.56
533,Exchequer,37.5869,-120.2725,95,33024,HYDRO,409,48,0.32,0.00,0.00
696,McSwain,37.5219,-120.3086,9,3289,HYDRO,410,48,0.247,616719.95,872.48
410,Chicago Park,39.1778,-120.8897,44,167567,HYDRO,412,50,0.175,821812.98,1919.15
499,Dutch Flat 2,39.2235,-120.8332,27,105818,HYDRO,413,50,0.146,714558.17,844.53
341,Beardsley,38.2046,-120.0768,10,54763,HYDRO,414,58,0.456,0.00,0.00
487,Donnells,38.3303,-119.9612,72,209039,HYDRO,415,58,0.167,0.00,0.00
990,Tulloch,37.8761,-120.6049,17,95628,HYDRO,416,57,0.128,0.00,0.00
543,Forbestown,39.5509,-121.2786,42,174683,HYDRO,417,52,0.434,3919.19,491.00
637,Kelly Ridge,39.5366,-121.4854,10,77679,HYDRO,418,52,0,13.25,-449.27
1047,Woodleaf,39.2036,-121.5531,59,278332,HYDRO,419,52,0.076,177467.19,931.99
374,Broadway,34.1263,-118.1494,75,43025,GAS,420,50,0.175,0.00,0.00
19,Craig,55.4764,-133.1483,4,0,OIL,421,27.5,0.627,3341380.91,879.07
571,Glenarm,34.1256,-118.1474,179,78323,GAS,422,20,0.138,0.00,0.00
42,Hydaburg,55.2081,-132.8267,1,0,OIL,423,23.2,0.779,17896434.28,2178.56
549,French Meadows,39.0579,-120.4091,15,57728,HYDRO,424,49,0.016,218.36,1390.81
703,Middle Fork,39.0575,-120.4092,116,545513,HYDRO,425,49,0,609.27,2014.10
777,Oxbow,39.0032,-120.7465,6,31118,HYDRO,426,49,0.019,43934.91,1575.38
824,Ralston,39.001,-120.7248,79,362654,HYDRO,427,49,0.846,0.00,0.00
789,Parker,37.2917,-120.4342,3,5276,HYDRO,428,33,0.302,0.00,0.00
396,Camino,38.8283,-120.5367,158,390368,HYDRO,430,49.5,0.339,1500821.58,889.11
625,Jaybird,38.7074,-121.1571,162,585707,HYDRO,431,53.5,0.071,0.00,0.00
672,Loon Lake,39.0015,-120.3113,74,120678,HYDRO,432,44,0.411,0.00,0.00
848,Robbs Peak,38.8965,-120.3783,26,61112,HYDRO,433,50,0.002,5553.44,1270.67
1034,White Rock/Slab Creek,38.7653,-120.7872,266,617103,HYDRO,435,47,0.165,809213.25,843.32
471,Devil Canyon,34.2056,-117.3344,276,890325,HYDRO,436,30.2,0.661,6109.14,77.55
511,Edward C Hyatt,39.5353,-121.4794,644,1377143,HYDRO,437,46.8,0.17,0.00,0.00
976,Thermalito,39.5147,-121.63,115,175481,HYDRO,438,47,0.284,771066.20,875.03
485,Don Pedro,37.6975,-120.4203,171,527932,HYDRO,439,40.4,0.722,11273942.85,2025.98
